2017-11-09 15:57:33 	 [ INFO] 	 <middleware.go:20>  	 Form:map[{
	"username":"someone",
	"password":"p@ssword"
}:[]],,Path:127.0.0.1/user/registeruser
2017-11-09 15:57:52 	 [ INFO] 	 <middleware.go:20>  	 Form:map[{
	"username":"someone",
	"password":"p@ssword"
}:[]],,Path:127.0.0.1/user/registeruser
2017-11-09 15:58:05 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/registeruser
2017-11-09 15:58:21 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/registeruser
2017-11-09 15:58:22 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/registeruser
2017-11-09 15:58:22 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/registeruser
2017-11-09 16:03:05 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/registeruser
2017-11-09 16:03:05 	 [ERROR] 	 <handler_user.go:110>  	 用户名不复合要求%!(EXTRA *http.Request=&{POST /user/registeruser HTTP/1.1 1 1 map[Connection:[keep-alive] Origin:[chrome-extension://fhbjgbiflinjbdggehcddcbncdddomop] Postman-Token:[d5f32a64-5d9a-3dea-748c-867572f44e27] Accept-Encoding:[gzip, deflate, br] Content-Length:[49] User-Agent:[Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36] Cache-Control:[no-cache] Content-Type:[application/json] Accept:[*/*] Accept-Language:[zh-CN,zh;q=0.8,en;q=0.6]] 0xc4201d29c0 <nil> 49 [] false localhost:8081 map[] map[] <nil> map[] [::1]:61303 /user/registeruser <nil> <nil> <nil> 0xc4201d2a00})
2017-11-09 16:12:20 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/registeruser
2017-11-09 16:12:20 	 [ERROR] 	 <handler_user.go:110>  	 用户名不复合要求%!(EXTRA *http.Request=&{POST /user/registeruser HTTP/1.1 1 1 map[Connection:[keep-alive] Accept:[*/*] User-Agent:[JSON%20Accelerator/112 CFNetwork/811.5.4 Darwin/16.7.0 (x86_64)] Accept-Language:[zh-cn] Content-Length:[0] Accept-Encoding:[gzip, deflate]] {} <nil> 0 [] false localhost:8081 map[] map[] <nil> map[] [::1]:61564 /user/registeruser <nil> <nil> <nil> 0xc42018e700})
2017-11-09 16:13:49 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/registeruser
2017-11-09 16:14:13 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/registeruser
2017-11-09 16:15:01 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/registeruser
2017-11-09 16:15:04 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/registeruser
2017-11-09 16:15:04 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/registeruser
2017-11-09 16:15:26 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/registeruser
2017-11-09 16:15:27 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/registeruser
2017-11-09 16:15:27 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/registeruser
2017-11-09 16:15:28 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/registeruser
2017-11-09 16:15:28 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/registeruser
2017-11-09 16:19:43 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/registeruser
2017-11-09 16:19:54 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/registeruser
2017-11-09 16:20:19 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/registeruser
2017-11-09 16:22:15 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/registeruser
2017-11-09 16:23:17 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/registeruser
2017-11-09 16:23:17 	 [ERROR] 	 <handler_user.go:103>  	 手机号不符合要求%!(EXTRA *http.Request=&{POST /user/registeruser HTTP/1.1 1 1 map[Content-Length:[133] Cache-Control:[no-cache] Origin:[chrome-extension://fhbjgbiflinjbdggehcddcbncdddomop] Content-Type:[application/json] Accept-Encoding:[gzip, deflate, br] Accept-Language:[zh-CN,zh;q=0.8,en;q=0.6] Connection:[keep-alive] User-Agent:[Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36] Postman-Token:[a16ea46b-b276-0f71-4670-87d6bb03b543] Accept:[*/*]] 0xc4201c69c0 <nil> 133 [] false localhost:8081 map[] map[] <nil> map[] [::1]:61774 /user/registeruser <nil> <nil> <nil> 0xc4201c6a00})
2017-11-09 16:23:44 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/registeruser
