2017-11-03 18:04:33 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 18:04:42 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 18:04:43 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 18:04:43 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:43 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:44 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:47 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:47 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:47 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/favicon.ico
2017-11-03 19:37:47 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:47 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:48 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:48 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/favicon.ico
2017-11-03 19:37:48 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:48 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:48 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:48 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/favicon.ico
2017-11-03 19:37:48 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:48 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:48 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:49 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:49 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/favicon.ico
2017-11-03 19:37:49 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:49 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:49 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:49 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/favicon.ico
2017-11-03 19:37:49 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:50 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:50 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/favicon.ico
2017-11-03 19:37:50 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:50 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:50 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:50 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/favicon.ico
2017-11-03 19:37:50 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:51 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:51 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/favicon.ico
2017-11-03 19:37:52 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:52 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/favicon.ico
2017-11-03 19:37:53 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:53 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/favicon.ico
2017-11-03 19:37:54 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:54 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/favicon.ico
2017-11-03 19:37:54 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:54 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:54 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/favicon.ico
2017-11-03 19:37:54 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:54 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:55 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:55 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:55 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:55 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:55 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:56 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/favicon.ico
2017-11-03 19:37:56 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:56 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:56 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/favicon.ico
2017-11-03 19:37:56 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:56 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:56 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:56 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:57 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:57 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:57 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:57 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 19:37:57 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/favicon.ico
2017-11-03 20:32:56 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 20:32:56 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/favicon.ico
2017-11-03 20:33:15 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 20:33:15 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/favicon.ico
2017-11-03 21:21:57 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 21:21:57 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 21:21:57 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/favicon.ico
2017-11-03 21:23:05 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 21:23:05 	 [ERROR] 	 <model_user.go:62>  	 Error 1054: Unknown column 'created' in 'field list'
2017-11-03 21:23:05 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 21:23:05 	 [ERROR] 	 <model_user.go:62>  	 Error 1054: Unknown column 'created' in 'field list'
2017-11-03 21:23:31 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 21:23:32 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/favicon.ico
2017-11-03 21:23:32 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 21:23:33 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/favicon.ico
2017-11-03 21:24:15 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 21:24:15 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/favicon.ico
2017-11-03 21:24:15 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 21:24:15 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/favicon.ico
2017-11-03 21:24:15 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
2017-11-03 21:24:16 	 [ INFO] 	 <middleware.go:19>  	 Form:map[],Path:localhost:8081/
