2017-11-15 00:04:18 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/sms
2017-11-15 00:05:25 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/registeruser
2017-11-15 00:09:23 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/sms
2017-11-15 00:09:33 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/sms
2017-11-15 00:09:33 	 [ WARN] 	 <model_sms.go:55>  	 Error 1366: Incorrect integer value: 'abc' for column 'type' at row 1
2017-11-15 00:09:53 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/sms
2017-11-15 00:09:53 	 [ WARN] 	 <model_sms.go:55>  	 Error 1366: Incorrect integer value: 'a' for column 'type' at row 1
2017-11-15 00:16:19 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/sms
2017-11-15 00:16:26 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/sms
2017-11-15 00:22:17 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/sms
2017-11-15 00:22:23 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/sms
2017-11-15 00:22:23 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/sms
2017-11-15 00:22:23 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/sms
2017-11-15 00:22:23 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/sms
2017-11-15 00:22:23 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/sms
2017-11-15 00:22:24 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/sms
2017-11-15 00:22:33 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/sms
2017-11-15 00:22:59 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/sms
2017-11-15 00:23:03 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/sms
2017-11-15 00:23:06 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/sms
2017-11-15 00:24:03 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/sms
2017-11-15 00:29:33 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/sms
2017-11-15 00:58:15 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/sms
2017-11-15 00:58:15 	 [ WARN] 	 <model_sms.go:136>  	 sql: no rows in result set
2017-11-15 00:58:33 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/sms
